ClaimNumber,CreateTime,AssignmentStatus,Subject,ExposureID,AssignedByUserID,AssignedUserID
CLM000129,2022-04-13 05:57:30,Unassigned,Lay say contain process hand relate.,EXP00297,leemaureen,larry24
CLM000606,2023-05-11 00:55:57,Unassigned,Ahead what model religious that east.,EXP00100,tgray,wgonzalez
CLM000642,2024-07-10 16:14:07,Assigned,Point present eat mission debate she also action.,EXP00135,trevor30,christopherbryant
CLM000678,2022-04-11 15:28:03,Assigned,Over pass wrong side seven.,EXP00083,xkelly,sara35
CLM000436,2024-09-23 20:37:59,Assigned,Follow election woman quite exist particular.,EXP00599,moorejustin,melissa46
CLM000708,2023-04-18 17:11:55,Unassigned,Court they place nor.,EXP00642,aguilarbrandon,amymoore
CLM000101,2023-12-27 08:50:41,Assigned,Line himself science popular full before structure.,EXP00138,kpatel,smithrobert
CLM000043,2023-09-24 01:54:44,Unassigned,Tend century east natural plan American.,EXP00213,sullivanamanda,linda30
CLM000871,2024-09-28 18:48:02,Unassigned,Surface measure remember rule avoid mouth.,EXP00607,aprilbell,mwilliams
CLM000506,2022-10-27 13:33:45,Assigned,Want theory as mean.,EXP00135,matthew90,jonescharles
CLM000351,2022-11-19 00:42:07,Assigned,School stand perhaps director goal trip ago.,EXP00005,alexishill,washingtonpatrick
CLM000077,2023-12-15 10:04:41,Assigned,Role suggest item.,EXP00784,david14,brad64
CLM000015,2023-11-22 15:09:35,Assigned,Land consumer property eat.,EXP00539,justingraves,andrewpalmer
CLM000820,2023-03-23 03:17:09,Unassigned,Young interest method industry food once.,EXP00240,david15,samuel48
CLM000031,2022-10-10 06:02:12,Unassigned,Family weight protect keep culture fast.,EXP00170,josephanderson,mosleytyler
CLM000368,2023-11-08 04:24:11,Assigned,Share authority concern economy figure safe cost.,EXP00219,anthony55,graytracey
CLM000092,2024-07-04 16:33:55,Unassigned,All professor consumer factor politics respond.,EXP00794,zparker,dustincampbell
CLM000192,2022-05-24 09:11:22,Unassigned,Ago staff in color.,EXP00026,paula33,wilsonjade
CLM000682,2023-12-11 05:52:21,Assigned,Defense age employee rather concern.,EXP00252,bwhite,wshields
CLM000341,2024-07-15 12:54:21,Assigned,Easy weight order tell example hit role.,EXP00232,joe78,manuel20
CLM000288,2022-02-25 13:56:15,Assigned,Sister soon nor expect begin good serve.,EXP00481,weberjanet,nrojas
CLM000110,2022-12-29 21:06:23,Unassigned,Bring appear bag mean cut.,EXP00645,martinezlauren,lindsey92
CLM000669,2024-04-29 18:49:40,Unassigned,Certainly network pick day themselves too.,EXP00299,iosborn,stacey33
CLM000152,2024-03-30 01:00:03,Assigned,According opportunity eye employee bit.,EXP00544,danny32,dcallahan
CLM000869,2023-07-11 04:49:06,Unassigned,Another tree pick economy Mr military.,EXP00383,alexanderrodriguez,jknox
CLM000786,2023-04-21 20:57:35,Assigned,Young thus item position us address top.,EXP00687,jwilkinson,deborah96
CLM000036,2023-02-28 02:24:16,Assigned,Rate design want list up.,EXP00703,rachelharris,shernandez
CLM000293,2023-02-21 18:40:25,Unassigned,Interest us choice impact.,EXP00703,pricelarry,xmeyer
CLM000917,2024-08-23 18:06:16,Assigned,Effect single population different onto.,EXP00710,troyjohnson,susanhuerta
CLM000125,2024-10-03 11:07:48,Unassigned,Seek same side end pick particularly state.,EXP00056,gcastillo,davidalexander
CLM000944,2022-07-25 16:54:09,Assigned,Perhaps media present involve beautiful heavy nice.,EXP00279,frank48,joseph61
CLM000758,2023-03-30 12:54:42,Assigned,Buy beyond news risk song.,EXP00573,mblair,marktaylor
CLM000392,2024-01-22 18:39:52,Assigned,Real relate television start live project.,EXP00280,jenniferjohnson,gwhite
CLM000262,2022-02-04 15:15:55,Unassigned,Movement over summer stage current.,EXP00197,stephanie19,xanderson
CLM000418,2024-09-02 12:03:38,Assigned,Face grow front whom race expect.,EXP00268,vwalsh,melissa98
CLM000626,2024-05-25 20:45:51,Unassigned,Keep out against especially bar.,EXP00004,rogerfletcher,brandievans
CLM000286,2022-01-29 12:26:56,Assigned,Church allow money many.,EXP00624,sherricollins,elaine11
CLM000548,2022-04-19 06:59:18,Unassigned,According analysis court.,EXP00096,newtoneileen,jessica06
CLM000451,2024-12-20 01:45:48,Assigned,Friend name though me.,EXP00067,mthompson,davisbill
CLM000582,2023-12-04 08:44:25,Unassigned,Pick company industry share room.,EXP00556,abigailbaxter,bchandler
CLM000056,2024-10-25 07:10:24,Unassigned,Board field capital sense keep red play under.,EXP00566,kochalison,ajuarez
CLM000172,2022-06-25 06:20:04,Unassigned,Together news only answer.,EXP00608,jessica35,drewmeyer
CLM000138,2024-01-28 10:18:37,Assigned,Would go effort hit book argue tonight.,EXP00368,perezkimberly,joseph91
CLM000995,2023-11-09 01:20:06,Assigned,Relationship support under week.,EXP00569,harriswalter,freemanlinda
CLM000810,2022-09-07 05:53:01,Assigned,According table home such eye some.,EXP00304,james08,rogersjonathan
CLM000079,2023-04-17 18:23:12,Assigned,Over population instead try measure.,EXP00347,kblackwell,znelson
CLM000304,2023-02-05 08:21:35,Unassigned,Generation detail great realize method discover.,EXP00247,lwatson,jacquelinegreen
CLM000120,2023-03-06 02:42:41,Unassigned,Institution soldier control big claim improve next Democrat.,EXP00369,tmartinez,carlos00
CLM000547,2024-04-20 00:03:08,Unassigned,According friend office rule until PM.,EXP00496,robinduarte,austin69
CLM000804,2022-07-16 04:48:47,Unassigned,Rest sport character drug man her.,EXP00463,xmyers,william84
CLM000170,2024-07-18 03:56:26,Unassigned,Theory phone financial at thing live federal south.,EXP00101,barbaratate,mooreleslie
CLM000415,2022-10-22 08:25:07,Assigned,Eight mouth system official especially popular.,EXP00503,kelly94,matthewperez
CLM000797,2022-04-16 02:03:22,Unassigned,His mention nice a cultural.,EXP00359,lgalloway,mcknighttimothy
CLM000742,2024-06-30 04:05:27,Unassigned,Year husband suddenly.,EXP00063,pzimmerman,hgonzalez
CLM000383,2023-08-10 18:31:00,Unassigned,Already out stock make board them.,EXP00558,justin94,bentonmichelle
CLM000220,2022-09-30 19:17:28,Assigned,Capital issue democratic agree risk off.,EXP00064,jessicakelly,nhunter
CLM000031,2022-04-21 10:51:58,Assigned,Land decision who situation.,EXP00083,cheryl35,michelle30
CLM000713,2022-04-18 01:49:59,Unassigned,Statement break politics blood include industry side.,EXP00190,yward,lauriebrown
CLM000992,2022-06-02 12:36:09,Unassigned,Magazine student strong example walk.,EXP00325,martinzachary,harrismichael
CLM000483,2024-04-15 01:16:20,Unassigned,Number increase into concern prevent in care.,EXP00030,heatherstevens,melissa31
CLM000693,2022-05-21 21:31:22,Assigned,Group still someone crime.,EXP00205,vblair,stevensmelissa
CLM000062,2022-10-01 20:47:45,Assigned,Tonight year media officer.,EXP00530,griffinjohn,gberger
CLM000653,2024-04-03 16:58:37,Unassigned,General for people million piece not.,EXP00257,amy53,sarah79
CLM000969,2022-02-12 06:31:42,Assigned,House example tough.,EXP00259,jennifer63,xflores
CLM000022,2023-05-26 15:43:04,Unassigned,Way wear just manager hold compare particularly.,EXP00709,johnsmith,nancythompson
CLM000166,2024-10-16 21:27:36,Unassigned,Purpose happy stock phone detail.,EXP00071,brownlauren,robertsjason
CLM000434,2022-09-30 14:07:41,Assigned,Pressure authority strategy hot by meeting dog.,EXP00230,sarah14,anthony37
CLM000837,2024-01-03 06:07:55,Assigned,Ten room game over knowledge somebody.,EXP00259,david44,harrisvictoria
CLM000358,2024-06-04 14:04:53,Unassigned,Hospital card strategy in high idea artist better.,EXP00560,jill50,garcialindsey
CLM000590,2022-11-05 14:41:15,Unassigned,Address dark population writer less.,EXP00557,rodriguezjohn,amyray
CLM000664,2022-02-02 16:33:52,Assigned,Involve design inside.,EXP00099,tgordon,destinyhernandez
CLM000508,2023-09-23 05:28:57,Assigned,Southern senior chance participant idea pay ask.,EXP00584,erikapearson,jmcknight
CLM000574,2022-05-17 22:17:28,Assigned,Friend technology involve back reduce shoulder evening.,EXP00408,jennifer50,jennifer78
CLM000082,2024-11-09 20:39:57,Assigned,Those section all sign.,EXP00020,martinwebb,lbailey
CLM000836,2024-05-15 07:30:35,Assigned,Bag once pressure reflect class case.,EXP00159,ramirezcharles,matthewszachary
CLM000766,2023-06-08 04:40:07,Unassigned,Miss add him however.,EXP00735,blackburnnancy,tylerjoshua
CLM000430,2024-06-12 02:04:36,Assigned,Nice paper lawyer our population nature.,EXP00221,christinesantos,vanessaodom
CLM000746,2023-03-23 08:27:02,Unassigned,Table somebody go piece fact various.,EXP00435,xlawson,matthew43
CLM000082,2023-11-04 12:56:37,Assigned,Wide reason set find paper town federal.,EXP00072,crawfordamanda,andrewchang
CLM000605,2022-01-10 13:30:35,Assigned,Technology attorney continue probably fall.,EXP00107,stephanie27,jacobtaylor
CLM000268,2024-09-26 01:20:40,Assigned,Than shake land great us.,EXP00449,kelli34,dbrown
CLM000107,2024-03-21 16:12:57,Unassigned,Such water Mr operation fight.,EXP00577,mckinneycindy,elizabeth97
CLM000875,2024-10-17 18:01:38,Assigned,Simple go whether room effect hair city.,EXP00624,harrisjulia,velezgilbert
CLM000658,2022-03-17 16:45:20,Assigned,Language citizen purpose rest evening break keep nature.,EXP00781,rburgess,kgray
CLM000069,2023-08-26 18:15:55,Unassigned,Poor some agent course half ground.,EXP00638,xavier04,willispaula
CLM000647,2023-07-20 14:07:16,Unassigned,Answer team project although free then.,EXP00413,cohenbarry,dmartin
