ClaimNumber,HowReported,MainContactType,ReportedDate,PolicyLocations,LossDate,LossCause,LossLocationID,Notes,State,Assessment,LossCause_asper_PDS
CLM000001,Online,Agent,2023-10-24,LOC0883,2023-04-07,Fire,LOC0341,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,YES
CLM000002,Phone,Policyholder,2023-09-07,LOC0365,2024-02-01,Theft,LOC0047,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,YES
CLM000003,In-Person,Broker,2024-05-29,LOC0507,2021-04-19,Fire,LOC0572,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000004,Phone,Agent,2022-11-12,LOC0117,2023-08-06,Fire,LOC0962,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000005,Email,Broker,2023-07-21,LOC0013,2024-07-05,Fire,LOC0263,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,NO
CLM000006,Email,Broker,2024-01-04,LOC0240,2022-04-09,Theft,LOC0972,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000007,In-Person,Broker,2022-03-26,LOC0601,2024-06-14,Collision,LOC0120,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000008,In-Person,Policyholder,2024-05-22,LOC0171,2024-02-09,Theft,LOC0939,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000009,Phone,Agent,2024-01-28,LOC0591,2022-05-21,Fire,LOC0566,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000010,Online,Broker,2023-05-27,LOC0146,2023-05-06,Natural Disaster,LOC0287,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,YES
CLM000011,Phone,Agent,2024-08-26,LOC0678,2021-11-05,Fire,LOC0666,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000012,Email,Policyholder,2023-09-23,LOC0264,2021-05-16,Theft,LOC0078,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000013,Email,Agent,2024-01-01,LOC0997,2022-03-02,Natural Disaster,LOC0599,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000014,Email,Agent,2023-03-13,LOC0987,2023-06-14,Natural Disaster,LOC0352,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,NO
CLM000015,Email,Policyholder,2023-12-05,LOC0628,2023-04-24,Natural Disaster,LOC0047,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000016,In-Person,Broker,2022-05-03,LOC0105,2023-06-18,Theft,LOC0943,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000017,In-Person,Broker,2022-03-01,LOC0342,2022-09-09,Natural Disaster,LOC0036,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000018,Online,Agent,2024-02-27,LOC0937,2021-05-13,Fire,LOC0201,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,YES
CLM000019,Phone,Agent,2024-08-12,LOC0742,2021-06-28,Theft,LOC0470,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000020,Online,Policyholder,2022-09-12,LOC0335,2024-04-21,Natural Disaster,LOC0072,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000021,Online,Policyholder,2022-10-25,LOC0483,2024-10-12,Theft,LOC0812,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000022,Email,Policyholder,2022-03-16,LOC0471,2021-07-21,Theft,LOC0265,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,YES
CLM000023,Phone,Agent,2023-02-10,LOC0372,2021-05-06,Natural Disaster,LOC0546,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000024,In-Person,Policyholder,2023-03-06,LOC0934,2024-02-26,Collision,LOC0197,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000025,In-Person,Policyholder,2023-06-17,LOC0208,2021-02-20,Collision,LOC0451,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,YES
CLM000026,In-Person,Agent,2024-08-02,LOC0875,2024-10-14,Fire,LOC0146,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000027,In-Person,Broker,2024-09-11,LOC0172,2023-02-28,Collision,LOC0508,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000028,Online,Policyholder,2024-11-27,LOC0381,2022-07-12,Natural Disaster,LOC0304,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
