ClaimNumber,PolicyNumber,PolicySource,EffectiveDate,ExpirationDate,CancellationDate,LossLocationID,HIPaymentStatus_Ext,Type,Driver,Vehicle
CLM000001,POL000001,Broker,2023-07-20,2028-05-15,2027-07-09,LOC0341,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000002,POL000002,Broker,2022-08-08,2026-04-24,2029-03-24,LOC0047,Not Paid,Nominated,Not Nominated,Not Active
CLM000003,POL000003,Agent,2024-08-13,2027-05-15,2025-01-27,LOC0572,Not Paid,Not Nominated,Not Nominated,Active
CLM000004,POL000004,Broker,2024-12-27,2027-05-04,2028-09-22,LOC0962,Pending,Nominated,Not Nominated,Active
CLM000005,POL000005,Online,2022-02-16,2025-12-29,,LOC0263,Pending,Nominated,Nominated,Not Active
CLM000006,POL000006,Agent,2024-08-13,2026-10-02,,LOC0972,Pending,Nominated,Not Nominated,Not Active
CLM000007,POL000007,Agent,2023-11-13,2028-05-22,2026-02-09,LOC0120,Paid,Nominated,Not Nominated,Active
CLM000008,POL000008,Agent,2024-12-24,2029-09-22,2025-11-24,LOC0939,Not Paid,Not Nominated,Nominated,Not Active
CLM000009,POL000009,Broker,2021-02-12,2025-02-17,2027-08-11,LOC0566,Paid,Not Nominated,Not Nominated,Active
CLM000010,POL000010,Broker,2021-10-01,2029-04-15,2025-11-30,LOC0287,Not Paid,Nominated,Nominated,Not Active
CLM000011,POL000011,Agent,2022-02-23,2027-06-28,,LOC0666,Pending,Not Nominated,Not Nominated,Not Active
CLM000012,POL000012,Broker,2023-06-29,2025-06-15,2027-03-30,LOC0078,Paid,Nominated,Nominated,Not Active
CLM000013,POL000013,Agent,2020-07-26,2025-11-29,,LOC0599,Not Paid,Not Nominated,Not Nominated,Active
CLM000014,POL000014,Online,2021-12-21,2027-09-02,,LOC0352,Paid,Not Nominated,Nominated,Not Active
CLM000015,POL000015,Broker,2020-04-08,2025-08-20,2026-05-19,LOC0047,Pending,Nominated,Nominated,Not Active
CLM000016,POL000016,Online,2021-09-27,2026-12-12,,LOC0943,Paid,Not Nominated,Nominated,Not Active
CLM000017,POL000017,Agent,2020-09-20,2026-07-16,2026-02-21,LOC0036,Paid,Nominated,Nominated,Active
CLM000018,POL000018,Agent,2022-11-27,2029-03-23,2028-08-21,LOC0201,Pending,Nominated,Nominated,Active
CLM000019,POL000019,Agent,2023-09-12,2025-10-31,,LOC0470,Not Paid,Nominated,Not Nominated,Not Active
CLM000020,POL000020,Online,2024-03-22,2026-05-16,2025-07-24,LOC0072,Not Paid,Not Nominated,Not Nominated,Active
CLM000021,POL000021,Online,2021-10-01,2028-06-02,2026-07-08,LOC0812,Pending,Not Nominated,Nominated,Not Active
CLM000022,POL000022,Online,2022-07-08,2029-10-11,2025-06-07,LOC0265,Pending,Nominated,Nominated,Not Active
CLM000023,POL000023,Online,2020-04-11,2027-08-18,,LOC0546,Pending,Nominated,Not Nominated,Not Active
CLM000024,POL000024,Online,2024-07-01,2026-05-27,2027-08-17,LOC0197,Pending,Nominated,Not Nominated,Active
CLM000025,POL000025,Online,2020-07-21,2029-11-21,2027-01-03,LOC0451,Pending,Not Nominated,Nominated,Active
CLM000026,POL000026,Online,2021-10-23,2028-07-22,2025-08-24,LOC0146,Paid,Nominated,Not Nominated,Active
CLM000027,POL000027,Agent,2020-04-23,2028-04-08,2025-03-15,LOC0508,Pending,Not Nominated,Nominated,Active
CLM000028,POL000028,Broker,2024-10-14,2026-04-27,2025-01-18,LOC0304,Not Paid,Nominated,Not Nominated,Not Active
CLM000029,POL000029,Online,2024-08-21,2028-01-22,,LOC0393,Pending,Nominated,Not Nominated,Active
CLM000030,POL000030,Broker,2024-06-16,2025-10-10,2026-11-16,LOC0649,Pending,Nominated,Not Nominated,Active
CLM000031,POL000031,Agent,2023-04-04,2029-12-29,2028-01-15,LOC0321,Pending,Nominated,Not Nominated,Not Active
CLM000032,POL000032,Agent,2020-10-16,2025-10-05,2025-12-16,LOC0855,Paid,Nominated,Nominated,Not Active
CLM000033,POL000033,Online,2024-08-03,2028-12-14,2025-11-14,LOC0949,Pending,Nominated,Nominated,Active
CLM000034,POL000034,Agent,2024-10-15,2028-08-22,,LOC0669,Paid,Nominated,Not Nominated,Not Active
CLM000035,POL000035,Online,2020-06-13,2029-12-14,,LOC0124,Paid,Not Nominated,Nominated,Not Active
CLM000036,POL000036,Broker,2024-02-02,2026-11-09,2025-07-07,LOC0608,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000037,POL000037,Agent,2021-05-03,2027-08-03,2029-06-17,LOC0198,Pending,Nominated,Nominated,Active
CLM000038,POL000038,Online,2022-04-07,2029-08-30,2027-05-24,LOC0637,Paid,Not Nominated,Nominated,Active
CLM000039,POL000039,Online,2021-04-09,2028-01-31,2027-12-23,LOC0355,Pending,Not Nominated,Not Nominated,Active
CLM000040,POL000040,Online,2023-08-14,2028-01-25,2025-08-29,LOC0267,Pending,Not Nominated,Not Nominated,Not Active
CLM000041,POL000041,Agent,2023-10-05,2028-01-28,2026-12-24,LOC0658,Pending,Nominated,Nominated,Not Active
CLM000042,POL000042,Broker,2023-02-23,2029-02-12,,LOC0402,Paid,Nominated,Nominated,Not Active
CLM000043,POL000043,Agent,2024-05-16,2026-11-30,2026-05-12,LOC0085,Paid,Not Nominated,Not Nominated,Active
CLM000044,POL000044,Online,2024-04-06,2025-08-30,2028-02-29,LOC0430,Paid,Nominated,Not Nominated,Not Active
CLM000045,POL000045,Online,2022-02-22,2026-10-20,2029-02-26,LOC0657,Paid,Nominated,Nominated,Not Active
CLM000046,POL000046,Broker,2023-09-19,2025-04-26,2026-11-23,LOC0849,Pending,Not Nominated,Not Nominated,Active
CLM000047,POL000047,Broker,2021-12-10,2026-01-17,2025-06-24,LOC0300,Paid,Not Nominated,Not Nominated,Not Active
CLM000048,POL000048,Online,2020-01-28,2029-10-09,,LOC0094,Pending,Not Nominated,Nominated,Not Active
CLM000049,POL000049,Agent,2023-11-25,2029-11-19,2027-04-07,LOC0909,Paid,Not Nominated,Nominated,Not Active
CLM000050,POL000050,Online,2022-11-07,2027-02-10,2029-11-06,LOC0027,Pending,Nominated,Nominated,Not Active
CLM000051,POL000051,Broker,2024-09-10,2027-11-02,,LOC0388,Paid,Nominated,Nominated,Not Active
CLM000052,POL000052,Agent,2022-05-07,2026-08-03,2028-12-02,LOC0016,Pending,Not Nominated,Not Nominated,Not Active
CLM000053,POL000053,Broker,2020-09-01,2027-11-29,2028-06-04,LOC0398,Paid,Nominated,Nominated,Active
CLM000054,POL000054,Broker,2021-01-25,2028-11-30,2029-11-14,LOC0951,Pending,Nominated,Not Nominated,Active
CLM000055,POL000055,Online,2020-06-03,2027-12-10,2027-11-22,LOC0224,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000056,POL000056,Broker,2022-09-25,2026-06-12,2026-03-21,LOC0563,Paid,Nominated,Nominated,Not Active
CLM000057,POL000057,Broker,2024-11-19,2025-10-22,2026-05-08,LOC0104,Pending,Not Nominated,Not Nominated,Active
CLM000058,POL000058,Agent,2021-07-23,2026-05-09,2028-10-11,LOC0195,Paid,Nominated,Nominated,Not Active
CLM000059,POL000059,Online,2021-10-07,2028-03-04,2025-10-23,LOC0568,Paid,Not Nominated,Nominated,Not Active
CLM000060,POL000060,Agent,2020-05-11,2027-04-26,2027-06-01,LOC0348,Not Paid,Not Nominated,Nominated,Not Active
CLM000061,POL000061,Online,2021-03-13,2025-06-18,2027-07-04,LOC0392,Pending,Nominated,Not Nominated,Active
CLM000062,POL000062,Agent,2020-11-07,2026-10-06,2029-03-06,LOC0827,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000063,POL000063,Online,2024-09-27,2027-04-29,,LOC0830,Paid,Nominated,Nominated,Not Active
CLM000064,POL000064,Agent,2024-11-16,2026-12-28,2027-07-13,LOC0673,Paid,Nominated,Not Nominated,Active
CLM000065,POL000065,Agent,2022-12-19,2029-01-15,2025-12-18,LOC0293,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000066,POL000066,Agent,2021-11-12,2028-07-08,2027-04-01,LOC0984,Paid,Nominated,Nominated,Not Active
CLM000067,POL000067,Broker,2024-08-09,2025-08-30,2026-02-07,LOC0385,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000068,POL000068,Online,2024-05-26,2029-09-07,2026-09-11,LOC0440,Not Paid,Not Nominated,Nominated,Active
CLM000069,POL000069,Broker,2020-03-05,2025-08-01,,LOC0713,Pending,Not Nominated,Not Nominated,Not Active
CLM000070,POL000070,Broker,2021-10-15,2029-11-16,2026-12-03,LOC0510,Pending,Not Nominated,Not Nominated,Not Active
CLM000071,POL000071,Broker,2022-03-28,2029-07-06,2026-05-22,LOC0175,Not Paid,Not Nominated,Nominated,Not Active
CLM000072,POL000072,Online,2021-11-02,2028-10-08,2025-11-11,LOC0672,Not Paid,Nominated,Nominated,Active
CLM000073,POL000073,Online,2023-09-22,2027-04-25,2028-09-24,LOC0377,Not Paid,Not Nominated,Nominated,Active
CLM000074,POL000074,Agent,2022-10-25,2028-04-06,,LOC0380,Not Paid,Not Nominated,Nominated,Not Active
CLM000075,POL000075,Agent,2020-11-08,2025-08-17,,LOC0926,Paid,Not Nominated,Nominated,Not Active
CLM000076,POL000076,Agent,2024-11-19,2025-02-15,2028-07-25,LOC0963,Not Paid,Nominated,Nominated,Active
CLM000077,POL000077,Agent,2021-01-06,2027-04-24,,LOC0961,Not Paid,Nominated,Nominated,Active
CLM000078,POL000078,Online,2024-04-11,2028-10-29,2028-11-11,LOC0365,Pending,Not Nominated,Nominated,Not Active
CLM000079,POL000079,Online,2020-08-02,2029-03-02,2025-09-27,LOC0610,Paid,Nominated,Not Nominated,Active
