ClaimNumber,PaymentType,CostType,CostCategory,GrossAmount,PaymentJustifiedInNotes
CLM000507,Check,Medical,Indemnity,49152.85,NO
CLM000818,Check,Property Damage,Expense,45395.94,YES
CLM000987,Direct Deposit,Property Damage,Expense,20937.6,NO
CLM000591,Check,Property Damage,Indemnity,29095.68,YES
CLM000795,Credit Card,Vehicle Repair,Indemnity,31458.5,YES
CLM000868,Check,Medical,Expense,18145.82,YES
CLM000539,Direct Deposit,Medical,Expense,26177.71,NO
CLM000043,Direct Deposit,Vehicle Repair,Expense,47935.33,YES
CLM000118,Check,Property Damage,Indemnity,36661.09,YES
CLM000340,Check,Property Damage,Expense,11083.9,YES
CLM000075,Credit Card,Vehicle Repair,Indemnity,686.49,YES
CLM000396,Check,Property Damage,Expense,4164.75,NO
CLM000499,Credit Card,Vehicle Repair,Indemnity,47888.07,YES
CLM000589,Check,Property Damage,Expense,6152.51,NO
CLM000967,Check,Medical,Expense,31628.92,YES
CLM000452,Direct Deposit,Medical,Indemnity,13087.32,YES
CLM000813,Check,Medical,Expense,40628.12,YES
CLM000412,Credit Card,Medical,Expense,31560.47,NO
CLM000585,Direct Deposit,Medical,Expense,40084.83,YES
CLM000941,Check,Property Damage,Expense,26030.26,YES
CLM000793,Check,Vehicle Repair,Indemnity,2637.18,NO
CLM000104,Credit Card,Vehicle Repair,Expense,21710.69,YES
CLM000767,Direct Deposit,Vehicle Repair,Indemnity,6732.05,YES
CLM000044,Credit Card,Medical,Indemnity,23707.59,YES
CLM000315,Check,Property Damage,Expense,14245.44,YES
CLM000593,Direct Deposit,Vehicle Repair,Indemnity,41975.62,NO
CLM000189,Direct Deposit,Medical,Expense,38634.53,NO
CLM000425,Direct Deposit,Medical,Indemnity,37606.17,YES
CLM000599,Credit Card,Medical,Indemnity,21191.38,YES
CLM000754,Direct Deposit,Medical,Expense,10482.92,NO
CLM000256,Credit Card,Medical,Indemnity,4941.11,NO
CLM000335,Direct Deposit,Medical,Indemnity,36981.02,YES
CLM000946,Credit Card,Property Damage,Indemnity,13634.99,NO
CLM000927,Check,Medical,Indemnity,14471.39,NO
CLM000895,Direct Deposit,Property Damage,Expense,6093.24,NO
CLM000190,Direct Deposit,Vehicle Repair,Expense,27997.92,YES
CLM000043,Check,Medical,Indemnity,32834.8,NO
CLM000260,Check,Property Damage,Indemnity,25728.94,YES
CLM000505,Direct Deposit,Property Damage,Indemnity,38225.99,NO
CLM000390,Check,Medical,Expense,43104.24,NO
CLM000047,Credit Card,Vehicle Repair,Indemnity,3027.87,NO
CLM000441,Direct Deposit,Medical,Expense,6001.64,NO
CLM000206,Credit Card,Medical,Indemnity,33125.18,YES
CLM000392,Credit Card,Medical,Expense,43151.64,NO
CLM000377,Credit Card,Medical,Indemnity,20743.59,NO
CLM000531,Credit Card,Property Damage,Expense,35421.16,NO
CLM000637,Direct Deposit,Medical,Indemnity,26431.16,YES
CLM000408,Credit Card,Property Damage,Expense,28553.36,NO
CLM000384,Direct Deposit,Property Damage,Expense,1140.58,NO
CLM000403,Check,Medical,Indemnity,20171.38,YES
CLM000650,Direct Deposit,Property Damage,Indemnity,17387.85,YES
CLM000202,Direct Deposit,Medical,Indemnity,11090.07,YES
CLM000187,Credit Card,Medical,Indemnity,8069.65,YES
CLM000776,Check,Vehicle Repair,Indemnity,32065.4,YES
CLM000463,Check,Medical,Indemnity,34047.45,YES
CLM000974,Check,Property Damage,Expense,19847.58,YES
CLM000801,Credit Card,Medical,Indemnity,34461.65,YES
CLM000175,Check,Vehicle Repair,Indemnity,42255.15,NO
CLM000625,Credit Card,Vehicle Repair,Indemnity,4771.38,NO
CLM000420,Direct Deposit,Vehicle Repair,Expense,34669.29,YES
CLM000245,Direct Deposit,Medical,Expense,25522.71,YES
CLM000670,Direct Deposit,Vehicle Repair,Expense,14912.91,NO
CLM000324,Check,Property Damage,Expense,44874.19,NO
CLM000756,Check,Property Damage,Expense,5751.71,YES
CLM000350,Check,Property Damage,Indemnity,25569.17,YES
CLM000669,Credit Card,Vehicle Repair,Expense,19251.2,NO
CLM000866,Credit Card,Vehicle Repair,Indemnity,2208.98,NO
CLM000554,Direct Deposit,Medical,Expense,30857.51,NO
CLM000795,Check,Medical,Expense,2690.77,YES
CLM000055,Credit Card,Vehicle Repair,Expense,7538.62,YES
CLM000197,Credit Card,Medical,Indemnity,11915.53,NO
CLM000925,Credit Card,Vehicle Repair,Expense,6466.94,NO
CLM000168,Check,Medical,Expense,3331.48,NO
CLM000498,Check,Medical,Indemnity,31959.61,NO
CLM000897,Direct Deposit,Property Damage,Indemnity,16167.63,YES
CLM000725,Check,Medical,Expense,28110.08,YES
CLM000173,Direct Deposit,Property Damage,Expense,32019.8,YES
CLM000841,Credit Card,Medical,Expense,10178.31,YES
CLM000488,Direct Deposit,Medical,Expense,961.28,YES
CLM000953,Direct Deposit,Property Damage,Indemnity,264.69,YES
CLM000750,Credit Card,Property Damage,Indemnity,27198.15,NO
CLM000030,Direct Deposit,Vehicle Repair,Indemnity,39581.97,YES
CLM000285,Direct Deposit,Vehicle Repair,Expense,8155.07,NO
CLM000574,Direct Deposit,Vehicle Repair,Expense,22508.07,NO
CLM000901,Direct Deposit,Property Damage,Indemnity,5909.44,NO
