ClaimNumber,ID,Vin,Make,Model,Year
CLM000528,VEH00001,Dy9301618CI1072738,Toyota,Civic,2003
CLM000180,VEH00002,Ek6926223Jm7571752,Honda,Camry,2009
CLM000599,VEH00003,Jm4903915Jr7329753,Chevrolet,Focus,2018
CLM000613,VEH00004,Sy9461224Ns3687560,Chevrolet,Civic,2017
CLM000331,VEH00005,wu5455634Zo9098715,Ford,Civic,2018
CLM000496,VEH00006,mM8932653RT3646857,Chevrolet,Malibu,2000
CLM000744,VEH00007,gQ1936306NI8040861,Ford,Camry,2001
CLM000287,VEH00008,mJ9004447Ta9586471,Chevrolet,Focus,2020
CLM000007,VEH00009,SU1223570xK3102473,Chevrolet,Civic,2009
CLM000783,VEH00010,IX9183869Gc7409442,Honda,Focus,2020
CLM000987,VEH00011,kP6677069WV4930743,Toyota,Malibu,2011
CLM000410,VEH00012,sl2461685Kx6292134,Toyota,Malibu,2004
CLM000997,VEH00013,ce3796274aB5853592,Toyota,Civic,2009
CLM000188,VEH00014,tP1807809Af8588564,Chevrolet,Camry,2013
CLM000010,VEH00015,NX0327708vE3120468,Chevrolet,Malibu,2005
CLM000640,VEH00016,dh8913641kY4743591,Chevrolet,Malibu,2007
CLM000773,VEH00017,Yc7971527nQ4660515,Chevrolet,Civic,2022
CLM000075,VEH00018,uV4856526Ve4861134,Ford,Malibu,2019
CLM000745,VEH00019,UK1312484BD7502560,Toyota,Focus,2010
CLM000541,VEH00020,GK0377349dR0791307,Ford,Malibu,2015
CLM000752,VEH00021,kO4797060cK0156868,Ford,Malibu,2016
CLM000838,VEH00022,jx3742500Ua2633727,Honda,Camry,2012
CLM000190,VEH00023,ux1033968To8254239,Honda,Malibu,2021
CLM000851,VEH00024,Gf3057893Yr1186212,Ford,Focus,2019
CLM000622,VEH00025,ZB1554938VT6903119,Honda,Malibu,2021
CLM000518,VEH00026,xf2796253HV6277267,Chevrolet,Camry,2005
CLM000843,VEH00027,dF9929761xN3274553,Chevrolet,Camry,2011
CLM000066,VEH00028,LB1554194WG8148294,Honda,Focus,2020
CLM000878,VEH00029,ke4466753kB2308654,Chevrolet,Focus,2013
CLM000242,VEH00030,uf5363771Yh1393750,Honda,Civic,2020
CLM000642,VEH00031,HE2659293We0016012,Honda,Camry,2012
CLM000830,VEH00032,Oc1610654RJ6599378,Chevrolet,Civic,2020
CLM000832,VEH00033,Ml5987969NU1140652,Ford,Camry,2000
CLM000436,VEH00034,Tn9306280yJ6312274,Ford,Camry,2018
CLM000862,VEH00035,sy2977983bJ7263047,Ford,Civic,2019
CLM000387,VEH00036,kP4609250Jm1069960,Ford,Civic,2017
CLM000806,VEH00037,hE3816213aA6631856,Honda,Civic,2019
CLM000996,VEH00038,Ji4601178ZT1995889,Ford,Camry,2008
CLM000200,VEH00039,do9711358VE3023285,Ford,Focus,2004
CLM000171,VEH00040,pu0677256Ch3484790,Ford,Malibu,2000
CLM000595,VEH00041,JE7812039oM5183432,Honda,Camry,2018
CLM000828,VEH00042,Sf1540492dY8883375,Honda,Malibu,2008
CLM000730,VEH00043,Wk5173481bD3072062,Chevrolet,Focus,2009
CLM000439,VEH00044,Ab0595912so4667092,Chevrolet,Camry,2022
CLM000754,VEH00045,Ed9786411Vk4354389,Chevrolet,Malibu,2012
CLM000833,VEH00046,aU3770888FG7914843,Toyota,Focus,2000
CLM000416,VEH00047,Tl4359276ed0505916,Chevrolet,Malibu,2017
CLM000584,VEH00048,cM1090181ER6952699,Honda,Camry,2004
CLM000297,VEH00049,uG7251413Sd7760012,Toyota,Civic,2020
CLM000199,VEH00050,mc9807045uk2767346,Honda,Focus,2023
CLM000089,VEH00051,UB5256534dv6815364,Toyota,Civic,2000
CLM000642,VEH00052,Bi0832821po5493540,Chevrolet,Malibu,2021
CLM000308,VEH00053,zP5261862el0102795,Ford,Camry,2008
CLM000241,VEH00054,BJ2270624pz5065340,Ford,Malibu,2022
CLM000545,VEH00055,vQ0067965PM9238343,Honda,Camry,2002
CLM000670,VEH00056,qh9832203Bo4478213,Ford,Camry,2017
CLM000754,VEH00057,Yd6489032Xg1649220,Chevrolet,Focus,2019
CLM000781,VEH00058,js4046075Vi4936359,Chevrolet,Civic,2011
CLM000798,VEH00059,wA9105651HC7236862,Toyota,Civic,2008
CLM000760,VEH00060,Wk2689960Qa1821948,Toyota,Civic,2023
CLM000508,VEH00061,ni8487939Ig4996807,Honda,Civic,2014
CLM000443,VEH00062,Kr8585593jp5625758,Toyota,Civic,2004
CLM000276,VEH00063,hU4923409YX7139083,Toyota,Civic,2016
CLM000072,VEH00064,YW1247274cj4473184,Honda,Camry,2001
CLM000051,VEH00065,ZH3050315GL8711477,Chevrolet,Camry,2003
CLM000414,VEH00066,wX5974278EW4181075,Toyota,Focus,2020
CLM000941,VEH00067,sY6801414rJ4366567,Ford,Focus,2009
CLM000737,VEH00068,aQ4417731xD1283816,Ford,Camry,2011
CLM000635,VEH00069,ua2825912Zt9322393,Toyota,Focus,2014
CLM000763,VEH00070,Og9189576ZY1475192,Ford,Focus,2021
CLM000210,VEH00071,Uc0038058Qa6663239,Chevrolet,Camry,2000
CLM000809,VEH00072,fQ2952403Qh7876382,Chevrolet,Camry,2020
CLM000258,VEH00073,sA1241787RA5454119,Honda,Camry,2007
CLM000220,VEH00074,wu1003669Vn7591620,Toyota,Civic,2002
CLM000932,VEH00075,Kn5067260bn2731557,Ford,Focus,2016
CLM000122,VEH00076,Qz9576030sf7554385,Ford,Malibu,2004
CLM000166,VEH00077,kH7282642jv8064558,Honda,Camry,2005
CLM000049,VEH00078,qY9513057FX2765329,Honda,Focus,2010
CLM000547,VEH00079,yt0330641px1735942,Honda,Camry,2010
CLM000737,VEH00080,Qf6928641pa0453296,Chevrolet,Focus,2002
CLM000611,VEH00081,wV0853223RX5937554,Honda,Civic,2012
CLM000076,VEH00082,pd6581114fB1042049,Honda,Civic,2006
CLM000865,VEH00083,Hp0373123da0002171,Honda,Camry,2004
CLM000364,VEH00084,zH2702046ej8118867,Chevrolet,Camry,2008
CLM000036,VEH00085,rR6758393OZ6618548,Chevrolet,Focus,2014
CLM000944,VEH00086,PX4015024Rd8514585,Ford,Civic,2014
CLM000868,VEH00087,eL1961464hX6758403,Honda,Camry,2017
CLM000385,VEH00088,WO8523828GK8466453,Honda,Camry,2004
CLM000814,VEH00089,yj0188349qR1893644,Honda,Camry,2014
CLM000635,VEH00090,Sz4115421nb3772143,Chevrolet,Camry,2016
CLM000122,VEH00091,cv3540524xS6228462,Honda,Camry,2018
CLM000276,VEH00092,iW2330186mh7326729,Toyota,Camry,2000
CLM000104,VEH00093,Iu4992828Na5288499,Ford,Civic,2008
CLM000498,VEH00094,ze4707524bn4195743,Ford,Malibu,2018
CLM000692,VEH00095,la6523518nZ1666842,Ford,Malibu,2015
CLM000084,VEH00096,eH0949379Jw4047941,Ford,Malibu,2009
CLM000929,VEH00097,sc0581422AK2175607,Toyota,Malibu,2011
CLM000733,VEH00098,VX7331935Fy4412084,Ford,Focus,2013
CLM000052,VEH00099,BR6569606Xw4436573,Toyota,Camry,2008
CLM000763,VEH00100,Gw6307953lI4792749,Honda,Focus,2011
CLM000437,VEH00101,wE3490514aj9850174,Ford,Civic,2011
CLM000871,VEH00102,Bc9361568Na1323352,Chevrolet,Malibu,2015
CLM000844,VEH00103,vv2747324Rh7461255,Honda,Civic,2011
CLM000461,VEH00104,nw0885959Jb1794040,Honda,Malibu,2023
CLM000506,VEH00105,gB2825946uc3440965,Honda,Civic,2023
CLM000724,VEH00106,Xq1427747OT5301718,Honda,Camry,2016
CLM000857,VEH00107,XB0922056Ev8043461,Ford,Civic,2007
CLM000294,VEH00108,yB8060043vy5128769,Ford,Camry,2007
CLM000288,VEH00109,tC0796828Xb4920776,Chevrolet,Camry,2003
CLM000436,VEH00110,eM0616761Tx7060330,Ford,Malibu,2009
